SourceId,SourceKey,TargetId,TargetKey,IssueType,Status
93639,CSTEST-722,100283,NTP-7180,Epic,Funnel
93640,CSTEST-723,100284,NTP-7181,Sub-task,Triage
93012,CSTEST-721,100285,NTP-7182,Story,Funnel
48450,CSTEST-696,100286,NTP-7183,Task,Triage
93011,CSTEST-720,100287,NTP-7184,Sub-task,Triage
93010,CSTEST-719,100288,NTP-7185,Sub-task,Triage
48128,CSTEST-718,100289,NTP-7186,Epic,Funnel
48129,CSTEST-717,100290,NTP-7187,Epic,Funnel
48130,CSTEST-716,100291,NTP-7188,Epic,Funnel
48131,CSTEST-715,100292,NTP-7189,Epic,Funnel
48132,CSTEST-714,100293,NTP-7190,Epic,Funnel
48133,CSTEST-713,100294,NTP-7191,Epic,Funnel
48134,CSTEST-712,100295,NTP-7192,Epic,Funnel
48135,CSTEST-711,100296,NTP-7193,Epic,Funnel
48136,CSTEST-710,100297,NTP-7194,Epic,Funnel
48137,CSTEST-709,100298,NTP-7195,Epic,Funnel
48138,CSTEST-708,100299,NTP-7196,Epic,Funnel
48139,CSTEST-707,100300,NTP-7197,Epic,Funnel
48140,CSTEST-706,100301,NTP-7198,Epic,Backlog.
48141,CSTEST-705,100302,NTP-7199,Epic,Review
48142,CSTEST-704,100303,NTP-7200,Epic,Funnel
48143,CSTEST-703,100304,NTP-7201,Epic,Backlog.
48144,CSTEST-702,100305,NTP-7202,Epic,Define
48145,CSTEST-701,100306,NTP-7203,Epic,Define
48146,CSTEST-700,100307,NTP-7204,Epic,Define
48147,CSTEST-699,100308,NTP-7205,Epic,Funnel
48148,CSTEST-698,100309,NTP-7206,Epic,Funnel
48451,CSTEST-695,100310,NTP-7207,Task,Triage
48149,CSTEST-694,100311,NTP-7208,Epic,Funnel
48452,CSTEST-693,100312,NTP-7209,Task,Triage
48150,CSTEST-692,100313,NTP-7210,Epic,Funnel
48151,CSTEST-691,100314,NTP-7211,Epic,Funnel
48152,CSTEST-690,100315,NTP-7212,Epic,Funnel
48153,CSTEST-689,100316,NTP-7213,Epic,Funnel
48154,CSTEST-688,100317,NTP-7214,Epic,Funnel
48453,CSTEST-687,100318,NTP-7215,Feature,Funnel
48155,CSTEST-686,100319,NTP-7216,Epic,Funnel
48156,CSTEST-685,100320,NTP-7217,Epic,Funnel
48157,CSTEST-684,100321,NTP-7218,Epic,Funnel
48158,CSTEST-683,100322,NTP-7219,Epic,Funnel
48159,CSTEST-682,100323,NTP-7220,Epic,Funnel
48160,CSTEST-681,100324,NTP-7221,Epic,Funnel
48161,CSTEST-680,100325,NTP-7222,Epic,Funnel
48162,CSTEST-679,100326,NTP-7223,Epic,Funnel
48163,CSTEST-678,100327,NTP-7224,Epic,Done
48164,CSTEST-677,100328,NTP-7225,Epic,Review
48165,CSTEST-676,100329,NTP-7226,Epic,Funnel
48166,CSTEST-675,100330,NTP-7227,Epic,Funnel
48167,CSTEST-674,100331,NTP-7228,Epic,Funnel
48168,CSTEST-673,100332,NTP-7229,Epic,Funnel
48454,CSTEST-672,100333,NTP-7230,Task,Triage
48455,CSTEST-671,100334,NTP-7231,Task,Triage
48456,CSTEST-670,100335,NTP-7232,Task,Triage
48457,CSTEST-669,100336,NTP-7233,Task,Triage
48458,CSTEST-668,100337,NTP-7234,Task,Triage
48459,CSTEST-667,100338,NTP-7235,Feature,Funnel
48460,CSTEST-666,100339,NTP-7236,Task,Triage
48461,CSTEST-665,100340,NTP-7237,Task,Triage
48169,CSTEST-664,100341,NTP-7238,Epic,Funnel
48462,CSTEST-663,100342,NTP-7239,Feature,Funnel
48463,CSTEST-662,100343,NTP-7240,Story,Funnel
48464,CSTEST-661,100344,NTP-7241,Story,Define
48465,CSTEST-659,100345,NTP-7242,Story,Funnel
48466,CSTEST-658,100346,NTP-7243,Story,Funnel
48170,CSTEST-657,100347,NTP-7244,Epic,Funnel
48467,CSTEST-656,100348,NTP-7245,Feature,Funnel
48468,CSTEST-655,100349,NTP-7246,Feature,Funnel
48171,CSTEST-654,100350,NTP-7247,Epic,Done
48172,CSTEST-653,100351,NTP-7248,Epic,Done
48469,CSTEST-652,100352,NTP-7249,Feature,Funnel
48470,CSTEST-651,100353,NTP-7250,Feature,Funnel
48471,CSTEST-650,100354,NTP-7251,Feature,Funnel
48472,CSTEST-649,100355,NTP-7252,Feature,Funnel
48473,CSTEST-648,100356,NTP-7253,Feature,Funnel
48474,CSTEST-647,100357,NTP-7254,Feature,Funnel
48475,CSTEST-646,100358,NTP-7255,Feature,Funnel
48476,CSTEST-645,100359,NTP-7256,Feature,Funnel
48477,CSTEST-644,100360,NTP-7257,Feature,Funnel
48478,CSTEST-643,100361,NTP-7258,Feature,Funnel
48479,CSTEST-642,100362,NTP-7259,Feature,Funnel
48480,CSTEST-641,100363,NTP-7260,Feature,Funnel
48481,CSTEST-640,100364,NTP-7261,Feature,Funnel
48482,CSTEST-639,100365,NTP-7262,Feature,Funnel
48483,CSTEST-638,100366,NTP-7263,Feature,Funnel
48484,CSTEST-637,100367,NTP-7264,Feature,Funnel
48485,CSTEST-636,100368,NTP-7265,Feature,Funnel
48486,CSTEST-635,100369,NTP-7266,Feature,Funnel
48487,CSTEST-634,100370,NTP-7267,Feature,Done
48173,CSTEST-633,100371,NTP-7268,Epic,Won't Do
48488,CSTEST-632,100372,NTP-7269,Feature,Done
48174,CSTEST-631,100373,NTP-7270,Epic,Funnel
48489,CSTEST-630,100374,NTP-7271,Feature,Funnel
48490,CSTEST-629,100375,NTP-7272,Feature,Funnel
48491,CSTEST-628,100376,NTP-7273,Feature,Funnel
